"","prey","svspp","seacat","year","CMT","lci.CMT","uci.CMT","mean.cb","lci.cb","uci.cb"
"519","all",15,"FALL",2001,45769.0538488917,3.52257959738356e-22,480291.858865995,0.205044276039571,1.50913786754342e-27,2.00517399875523
"520","all",15,"FALL",2002,104680.97998832,1.00255807315774e-15,1292308.29627669,0.445468095686203,3.98893008323348e-21,3.64505597739402
"521","all",15,"FALL",2003,143238.507498028,1.80002817134533e-89,1212765.67862763,1.31330122035223,7.50882916833241e-95,21.9290983663738
"522","all",15,"FALL",2004,88729.6216675091,0.00153381891571753,692375.183652321,0.330366607402291,6.16612093807613e-09,2.62389047068616
"523","all",15,"FALL",2005,53668.7715018932,4.99951345426591e-32,925347.684983402,0.147647341663936,1.30265473322902e-37,2.77438109430323
"524","all",15,"FALL",2006,131620.307480928,1.82614357933811e-15,1663020.79289051,0.398068635256271,4.89864226462401e-21,4.10704780772653
"525","all",15,"FALL",2007,50840.4341536848,1.19473007264149e-27,481108.826061826,0.161493488889835,2.01720702749498e-33,1.28801248437338
"526","all",15,"FALL",2008,329939.901068681,2.92017862219848e-11,4320039.92811933,1.87603557528443,1.69177984701225e-16,24.3148412508176
"527","all",15,"FALL",2009,47246.6086730625,7.05438659336969e-14,688226.889435317,0.194023174590685,2.11982096128039e-19,2.14361424894275
"528","all",15,"FALL",2010,56422.064052675,7.10704462634127e-37,256062.805603292,0.30004077340727,4.72939769086639e-42,1.33418561596106
"529","all",15,"FALL",2011,30878.0024116925,2.10754918429591e-33,283930.706399053,0.157165014396414,8.74248355158674e-39,1.38297292668432
"530","all",15,"FALL",2012,348710.355642985,1.03677361299308e-14,3335616.80060014,1.58846991448116,2.98889216304564e-20,8.38916917781113
"531","all",15,"FALL",2013,105116.04048018,9.29794945356811e-18,1153365.16011179,0.448719554646267,4.23555669933527e-23,4.96508694096913
"532","all",15,"FALL",2014,218601.450650545,9.50648578970084e-30,3092535.42749313,1.32015240963765,4.88882262276011e-35,12.2462971030621
"533","all",15,"FALL",2015,25008.7792826641,1.13742963520196e-11,186107.582599628,0.214773004421373,4.44843171118474e-17,0.877101725455702
"534","all",15,"FALL",2016,331202.210527812,3.34288665064153e-26,4291229.23443414,1.2832178248116,4.44175583067035e-32,11.2062670062373
"535","all",15,"FALL",2017,6235.88872800407,1.99950881855676e-25,88111.1169159596,0.0371778816138948,1.06432204111126e-30,0.382831734910394
"536","all",15,"FALL",2018,6631.30503439749,5.1655551769491e-12,65904.2963014314,0.0631434775425987,5.43203751170411e-17,0.655358721144595
"537","all",15,"FALL",2019,25692.268366245,6.10400409166235e-21,265453.94775359,0.108862692868133,2.30387776849759e-26,1.40768939577551
"538","all",15,"FALL",2020,NA,0,0,NA,0,0
"539","all",15,"FALL",2021,422639.492895177,1.54675486848602e-08,4353486.33157071,4.35275451723295,1.87622903857118e-13,50.4613199844925
"540","all",15,"SPRING",1973,NA,0,0,NA,0,0
"541","all",15,"SPRING",1974,NA,0,0,NA,0,0
"542","all",15,"SPRING",1975,NA,0,0,NA,0,0
"543","all",15,"SPRING",1976,NA,0,0,NA,0,0
"544","all",15,"SPRING",1977,10514.6429119923,1.60785342022343e-35,143197.414630431,0.0510483369043229,8.75984382373695e-41,0.518568520962311
"545","all",15,"SPRING",1978,23788.8549609769,2.69278013370903e-08,286036.267158415,0.102525091877457,9.05777422938976e-14,1.2129316924867
"546","all",15,"SPRING",1979,6882.59964776201,1.86191003597142e-17,68819.0963663436,0.0604375649109317,1.10091266424331e-22,0.530452039485539
"547","all",15,"SPRING",1980,18135.2745186616,3.834224670963e-50,161468.071947986,0.0718156181230824,6.66033780710675e-56,0.961059549547156
"548","all",15,"SPRING",1981,42529.5628993389,4.19312949738809e-18,431014.944347949,0.136622244144159,1.39836453161559e-23,1.52562298581673
"549","all",15,"SPRING",1982,76178.460127799,7.39820927454825e-13,763802.141154403,0.121288720773991,6.5988337738598e-19,1.29821069782008
"550","all",15,"SPRING",1983,66316.475094024,2.25585325062917e-06,598755.061737204,0.327192339226279,1.80526428501691e-11,2.66251280641546
"551","all",15,"SPRING",1984,49836.674675955,8.97635599625882e-11,425788.630343097,0.1936470713916,3.50582857662858e-16,2.33782754477857
"552","all",15,"SPRING",1985,201519.655685202,2.56525106399094e-13,2520198.38501094,0.216391365236138,3.87931643437718e-19,2.57666136542095
"553","all",15,"SPRING",1986,130088.507140853,3.10877834836599e-07,1094646.99288903,0.593161294071793,1.60671549985372e-12,5.15588477616133
"554","all",15,"SPRING",1987,388424.186157999,6.50493269026239e-20,5700892.20901631,0.823832924785442,2.96883344260242e-25,12.6777446162378
"555","all",15,"SPRING",1988,282891.034425684,2.89568289620618e-14,1026292.39932794,0.520833454934199,5.40254198168807e-20,3.07193808264895
"556","all",15,"SPRING",1989,129769.766669506,1.35028274069541e-08,769932.531712352,0.421301156852258,3.03329239758587e-14,3.53591138867751
"557","all",15,"SPRING",1990,38551.259677003,2.02683220077812e-33,557588.257700194,0.0612854305889203,2.04840249406605e-39,0.989167628238575
"558","all",15,"SPRING",1991,153562.417592311,3.56901824877677e-08,1109198.36438267,0.315468858539148,7.42421303175389e-14,2.2069082998282
"559","all",15,"SPRING",1992,111571.542873867,5.62821150014894e-05,962485.05691441,0.211621354380147,7.90568276378363e-11,1.46021329496228
"560","all",15,"SPRING",1993,55838.6946796495,2.59026148156183e-34,707137.534141024,0.154441510376499,9.62922574842087e-40,2.01493246523879
"561","all",15,"SPRING",1994,75152.5401918413,6.02361814964183e-06,665528.828831309,0.210404347704688,1.5854038241194e-11,1.98089043233258
"562","all",15,"SPRING",1995,65477.2421714572,1.9881044717328e-10,685090.042318034,0.21576133856219,5.64244750721536e-16,2.09648325682253
"563","all",15,"SPRING",1996,100789.697516228,2.53655629340051e-14,781027.249936977,0.1830817623606,4.10659284534824e-20,1.62391660988759
"564","all",15,"SPRING",1997,134361.92552439,0.000202504725521086,1367785.72199876,0.398459544446354,4.30946678572616e-10,3.97689553715511
"565","all",15,"SPRING",1998,79404.7952470827,3.89359380022729e-22,674219.769775887,0.295809895846064,1.3250239353105e-27,2.42837036411829
"566","all",15,"SPRING",1999,49698.4561488943,6.15389994967464e-05,376234.057587864,0.161445481241116,1.51347904779464e-10,1.05176786664624
"567","all",15,"SPRING",2000,146388.711185276,9.80492487794225e-10,2262492.80846754,0.608674188644088,3.89853386587921e-15,8.22892766477864
"568","all",15,"SPRING",2001,15147.3521297456,3.31755164934117e-13,134047.169248878,0.0919744004455318,1.81689698450246e-18,1.08820932874205
"569","all",15,"SPRING",2002,115388.913757714,8.13462122201969e-06,822714.4806276,0.356868574652142,3.03780437402945e-11,3.07135768715339
"570","all",15,"SPRING",2003,56298.8926942191,2.4452960277591e-63,275419.919052896,0.235986589498987,9.66751744184069e-69,1.73815224306374
"571","all",15,"SPRING",2004,22986.915558478,4.96408421920165e-15,208237.591244618,0.159038598375116,3.26988776763348e-20,1.5232528668754
"572","all",15,"SPRING",2005,29843.8908258387,1.02933841764481e-76,394203.759271098,0.13252724165689,4.10595196504744e-82,2.21954292445981
"573","all",15,"SPRING",2006,413514.515960786,2.37877187469127e-08,3559435.81489411,0.710258039862138,4.05999004509834e-14,7.47992042293319
"574","all",15,"SPRING",2007,58451.2478726998,0.00225145978160072,380982.675804093,0.19250306125043,5.89410308124562e-09,1.26715648391912
"575","all",15,"SPRING",2008,55434.7305150242,0.0094465974725891,325381.322707996,0.123644139173607,2.18885192573073e-08,0.844826754339022
"576","all",15,"SPRING",2009,318691.359612694,8.0514752077676e-07,2448837.58448821,0.822018234872784,1.88698530949914e-12,5.74480161275181
"577","all",15,"SPRING",2010,34596.6568169295,3.29364583142973e-18,249677.184736288,0.100285362181567,9.34482119101605e-24,1.03863691429588
"578","all",15,"SPRING",2011,38938.9495797537,3.51356381583461e-05,351137.509165821,0.0976271133154118,1.10478877922705e-10,1.08079145973415
